motivo_name,motivo_id,Pais,Genero
Soda Stereo,1,Argentina,Rock
Gustavo Cerati,2,Argentina,Rock 
Lenny Kravitz,3,Estados Unidos,Rock
The Doors,4,Estados Unidos,Rock
Kraken,5,Colombia,Rock
Shakira,6,Colombia,Pop
Michael Jackson,7,Estados UNidos,Pop
Gilberto Gil,8,Brasil,MPB
Metallica,9,Estados Unidos,Metal
Mon Laferte,10,Chile,Pop
Aterciopelados,11,Colombia,Rock
Marilyn Manson,12,Estados Unidos,Metal
Tupac Shakur,13,Estados Unidos,Hip Hop
Duran Duran,14,Reino Unido,Rock
Los Toreros Muertos,15,España,Rock